"ID";"Vermogensklassen";"KenmerkenVanHetHuishouden";"Perioden";"Aantal_1";"AantalPersonen_2";"Totaal_3";"Gemiddeld_4";"k_50ePercentielMediaan_5"
"71";"   1";"  29";"2012JJ00";"4736";"2.9";"916.2";"193";"62"
"72";"   1";"  30";"2006JJ00";"3971";"2.9";"811.5";"204";"102"
"73";"   1";"  30";"2007JJ00";"3969";"2.9";"889.9";"224";"112"
"74";"   1";"  30";"2008JJ00";"3983";"2.9";"954.8";"240";"120"
"75";"   1";"  30";"2009JJ00";"3998";"2.9";"898.7";"225";"111"
"76";"   1";"  30";"2010JJ00";"4002";"2.9";"863.2";"216";"94"
"77";"   1";"  30";"2011XX00";"4107";"2.9";"841.1";"205";"81"
"78";"   1";"  30";"2011JJ00";"4106";"2.9";"857.1";"209";"82"
"79";"   1";"  30";"2012JJ00";"4109";"2.9";"839.6";"204";"77"
"80";"   1";"  31";"2006JJ00";"2019";"2";"438.6";"217";"96"
"81";"   1";"  31";"2007JJ00";"2034";"2";"501.8";"247";"108"
"82";"   1";"  31";"2008JJ00";"2057";"2";"537.2";"261";"120"
"83";"   1";"  31";"2009JJ00";"2070";"2";"506.9";"245";"115"
"84";"   1";"  31";"2010JJ00";"2083";"2";"500.3";"240";"105"
"85";"   1";"  31";"2011XX00";"2114";"2";"490.1";"232";"96"
"86";"   1";"  31";"2011JJ00";"2107";"2";"490";"233";"97"
"87";"   1";"  31";"2012JJ00";"2113";"2";"485.9";"230";"96"
"88";"   1";"  32";"2006JJ00";"1348";"2";"256.1";"190";"81"
"89";"   1";"  32";"2007JJ00";"1346";"2";"296.8";"220";"90"
"90";"   1";"  32";"2008JJ00";"1350";"2";"306.8";"227";"94"
"91";"   1";"  32";"2009JJ00";"1339";"2";"279.7";"209";"83"
"92";"   1";"  32";"2010JJ00";"1327";"2";"261.8";"197";"67"
"93";"   1";"  32";"2011XX00";"1333";"2";"246.9";"185";"57"
"94";"   1";"  32";"2011JJ00";"1331";"2";"248.8";"187";"60"
"95";"   1";"  32";"2012JJ00";"1292";"2";"230.7";"179";"54"
"96";"   1";"  33";"2006JJ00";"671";"2";"182.5";"272";"142"
"97";"   1";"  33";"2007JJ00";"688";"2";"205";"298";"163"
"98";"   1";"  33";"2008JJ00";"707";"2";"230.4";"326";"187"
"99";"   1";"  33";"2009JJ00";"731";"2";"227.2";"311";"188"
"100";"   1";"  33";"2010JJ00";"755";"2";"238.5";"316";"187"
"101";"   1";"  33";"2011XX00";"781";"2";"243.2";"311";"179"
"102";"   1";"  33";"2011JJ00";"776";"2";"241.2";"311";"179"
"103";"   1";"  33";"2012JJ00";"821";"2";"255.3";"311";"180"
"104";"   1";"  34";"2006JJ00";"1344";"3.9";"220.7";"164";"90"
"105";"   1";"  34";"2007JJ00";"1333";"3.9";"228.8";"172";"94"
"106";"   1";"  34";"2008JJ00";"1333";"3.9";"247.4";"186";"99"
"107";"   1";"  34";"2009JJ00";"1326";"3.9";"227.6";"172";"84"
"108";"   1";"  34";"2010JJ00";"1321";"3.9";"205.5";"156";"62"
"109";"   1";"  34";"2011XX00";"1345";"3.9";"188.3";"140";"46"
"110";"   1";"  34";"2011JJ00";"1352";"3.9";"201.9";"149";"46"
"111";"   1";"  34";"2012JJ00";"1341";"3.9";"188.7";"141";"37"
"112";"   1";"  35";"2006JJ00";"608";"3.8";"152.2";"250";"152"
"113";"   1";"  35";"2007JJ00";"601";"3.8";"159.3";"265";"166"
"114";"   1";"  35";"2008JJ00";"594";"3.8";"170.1";"287";"177"
"115";"   1";"  35";"2009JJ00";"602";"3.8";"164.2";"273";"167"
"116";"   1";"  35";"2010JJ00";"598";"3.8";"157.5";"263";"148"
"117";"   1";"  35";"2011XX00";"648";"3.8";"162.7";"251";"135"
"118";"   1";"  35";"2011JJ00";"647";"3.8";"165.1";"255";"137"
"119";"   1";"  35";"2012JJ00";"655";"3.8";"165";"252";"130"
"120";"   1";"  36";"2006JJ00";"437";"2.5";"43.2";"99";"5"
"121";"   1";"  36";"2007JJ00";"445";"2.5";"42.5";"96";"5"
"122";"   1";"  36";"2008JJ00";"449";"2.5";"46.9";"104";"7"
"123";"   1";"  36";"2009JJ00";"463";"2.5";"49.1";"106";"6"
"124";"   1";"  36";"2010JJ00";"475";"2.5";"45.8";"96";"6"
"125";"   1";"  36";"2011XX00";"475";"2.5";"42.2";"89";"5"
"126";"   1";"  36";"2011JJ00";"477";"2.5";"46.6";"98";"5"
"127";"   1";"  36";"2012JJ00";"491";"2.5";"45.1";"92";"5"
"128";"   1";"  37";"2006JJ00";"247";"2.6";"12.6";"51";"2"
"129";"   1";"  37";"2007JJ00";"249";"2.6";"14.4";"58";"2"
"130";"   1";"  37";"2008JJ00";"255";"2.6";"16";"63";"3"
"131";"   1";"  37";"2009JJ00";"261";"2.6";"16";"61";"3"
"132";"   1";"  37";"2010JJ00";"267";"2.5";"14.9";"56";"3"
"133";"   1";"  37";"2011XX00";"259";"2.6";"12.8";"49";"2"
"134";"   1";"  37";"2011JJ00";"259";"2.5";"14.9";"58";"2"
"135";"   1";"  37";"2012JJ00";"267";"2.5";"14";"53";"2"
"136";"   1";"  38";"2006JJ00";"190";"2.5";"30.6";"161";"21"
"137";"   1";"  38";"2007JJ00";"195";"2.5";"28.1";"144";"22"
"138";"   1";"  38";"2008JJ00";"195";"2.5";"30.9";"159";"23"
"139";"   1";"  38";"2009JJ00";"202";"2.5";"33.1";"164";"18"
"140";"   1";"  38";"2010JJ00";"208";"2.5";"30.8";"148";"18"
"141";"   1";"  38";"2011XX00";"216";"2.5";"29.4";"136";"16"
"142";"   1";"  38";"2011JJ00";"217";"2.5";"31.7";"146";"17"
"143";"   1";"  38";"2012JJ00";"225";"2.5";"31.1";"139";"16"
"144";"   1";"  39";"2006JJ00";"218";"3.8";"39.3";"180";"25"
"145";"   1";"  39";"2007JJ00";"222";"3.8";"45.6";"205";"27"
"146";"   1";"  39";"2008JJ00";"222";"3.8";"48.3";"217";"29"
"147";"   1";"  39";"2009JJ00";"221";"3.8";"47.3";"214";"28"
"148";"   1";"  39";"2010JJ00";"227";"3.7";"49.1";"216";"22"
"149";"   1";"  39";"2011XX00";"139";"3.9";"34.7";"250";"30"
"150";"   1";"  39";"2011JJ00";"137";"3.9";"33.7";"245";"35"
"151";"   1";"  39";"2012JJ00";"136";"3.9";"31.4";"231";"31"
"152";"   1";"  42";"2006JJ00";"1629";"1.6";"359.8";"221";"56"
"153";"   1";"  42";"2007JJ00";"1656";"1.6";"395.4";"239";"67"
"154";"   1";"  42";"2008JJ00";"1689";"1.6";"434.1";"257";"93"
"155";"   1";"  42";"2009JJ00";"1728";"1.6";"430.9";"249";"107"
"156";"   1";"  42";"2010JJ00";"1775";"1.6";"447.3";"252";"107"
"157";"   1";"  42";"2011XX00";"1807";"1.6";"449";"248";"107"
"158";"   1";"  42";"2011JJ00";"1807";"1.6";"455";"252";"107"
"159";"   1";"  42";"2012JJ00";"1890";"1.6";"472.9";"250";"111"
"160";"   1";"  43";"2006JJ00";"764";"1";"115.5";"151";"23"
"161";"   1";"  43";"2007JJ00";"774";"1";"125.9";"163";"23"
"162";"   1";"  43";"2008JJ00";"786";"1";"132.3";"168";"23"
"163";"   1";"  43";"2009JJ00";"798";"1";"132.7";"166";"24"
"164";"   1";"  43";"2010JJ00";"818";"1";"138.3";"169";"24"
